e, e_dot, e_int, stamp, 
-0.07768138795262602, 0.022534150511893485, -0.01620512798244541, 40563000000, 
-0.07464520188391005, 0.02102898931317006, -0.015552032567626476, 40665000000, 
-0.0714933105190872, 0.020626924778462768, -0.014921326690374884, 40767000000, 
-0.06834807147829008, 0.02099043468539989, -0.014299105592085823, 40869000000, 
-0.06526889091544769, 0.020748065345465028, -0.01367401819418833, 40971000000, 
-0.062145778277415686, 0.020674310669581326, -0.013050849378076898, 41039000000, 
-0.05881364245234094, 0.02151749487702248, -0.012415220776346955, 41107000000, 
-0.05600189317912324, 0.020479616994308152, -0.011797420927258658, 41209000000, 
-0.053244865243206096, 0.01856259069711615, -0.01120402672497802, 41311000000, 
-0.05056992828876444, 0.018106549634529328, -0.010654445780739586, 41413000000, 
-0.0484699470946795, 0.015916393828421988, -0.010152316041776669, 41515000000, 
-0.046685398059806704, 0.012948434096525796, -0.009715018229550043, 41617000000, 
-0.04490766096684795, 0.01187428709277183, -0.009337533741422276, 41719000000, 
-0.04310633340937653, 0.011930215501433916, -0.008979959495735412, 41821000000, 
-0.04144869982826349, 0.0115298704619482, -0.008630846280299198, 41923000000, 
-0.0398865725533023, 0.010732536186914091, -0.008296107052729488, 42025000000, 
-0.038474380723469814, 0.009914397015978923, -0.007987310207002375, 42127000000, 
-0.03709441069729924, 0.009307206186676872, -0.00769702426493809, 42229000000, 
-0.03566245256631134, 0.009373093857194906, -0.00741541626580536, 42331000000, 
-0.03431142313331792, 0.00927662521327107, -0.007137885759795234, 42433000000, 
-0.0332323348766404, 0.008100392298903136, -0.006880414038417978, 42535000000, 
-0.03217222472272613, 0.007130661368639306, -0.006647732182178963, 42603000000, 
-0.03107976261353579, 0.007175240877015376, -0.006432288147526821, 42705000000, 
-0.029894869974313565, 0.007591182494708544, -0.006209790487371698, 42807000000, 
-0.01579635530624207, 0.05094469102431239, -0.005118065859606095, 42909000000, 
-0.013935797311853293, 0.053196908874867575, -0.003975134839493928, 43011000000, 
-0.01214993056762953, 0.012154749128708472, -0.0027921388790483263, 43113000000, 
-0.010471228118223597, 0.011548563978765655, -0.0024371303998470947, 43215000000, 
-0.010096794553422828, 0.006843786714022341, -0.002181196882618397, 43317000000, 
-0.011980743091123958, -0.005031716576334537, -0.0021699177175180254, 43419000000, 
-0.013351685315036776, -0.010849635872046496, -0.0023619481973055708, 43521000000, 
