imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.054394773647817814, -0.008329671021052915, -0.04928937356273441, -0.007384778971502422, 0.09938634953670847, -0.0743037550521447, -1.621610716663348, -0.5611330209944712, 39941000000, 
-0.042721135207295924, -0.023250888260883656, -0.04429549805953981, -0.006828673545122815, 0.09970554235996108, -0.06848840479167803, -1.612156183131631, -0.5645085243283814, 40037000000, 
-0.0614694210378511, -0.03957937008102657, -0.05723317190859474, -0.0060494114182203206, 0.10057125118184976, -0.06015050371882086, -1.6025929437322075, -0.5680003149984327, 40137000000, 
-0.07302579631003761, 0.018181309282279137, -0.06914341599730929, -0.004985426390033881, 0.09769047917894483, -0.0510328788632699, -1.5930934396636725, -0.5715401759267129, 40242000000, 
-0.04281623638726717, -0.015017153358375609, -0.04921060489220778, -0.005031730704750109, 0.098326731970533, -0.05117357817056343, -1.583741792390779, -0.5750867135849584, 40342000000, 
-0.036212218675219954, -0.009975412255350442, -0.03935912247622853, -0.004929916995575698, 0.09871462231300587, -0.04994110173408595, -1.5743900669617938, -0.5786880446946191, 40442000000, 
-0.058792278664367745, 0.0334310474975547, -0.054021212589168144, -0.004391387057583158, 0.09727604404032104, -0.04514356130439394, -1.5651367415557007, -0.5823053760943306, 40537000000, 
-0.06515043025745304, -0.0032286065556642774, -0.062388338670596205, -0.004552821179333267, 0.09798378417512163, -0.04646504743270818, -1.5559116659559264, -0.5859635732934442, 40637000000, 
-0.06178885334610072, 0.0022942466902670447, -0.061896866965920366, -0.004531514171575185, 0.0978102674966756, -0.04632963683213732, -1.546615749799552, -0.5896988159561818, 40737000000, 
-0.08143083913181899, -0.008075276881572868, -0.0766097845012256, -0.004449624189965133, 0.09804788269700537, -0.04538215479589378, -1.5373282078575334, -0.5934808265495883, 40837000000, 
-0.03518259188548448, -0.025950028846140838, -0.04526751663573372, -0.0044095948873832625, 0.09865105441685333, -0.04469891288490817, -1.5280426150019437, -0.5973121489724303, 40937000000, 
-0.07497757919288936, -0.049421151389260065, -0.06767001847758877, -0.004638884076435483, 0.10000026420772995, -0.046388718201775515, -1.5187357984239602, -0.6012017467256422, 41037000000, 
-0.03252109947454607, -0.012635163575264348, -0.04108345430661537, -0.0043348980166123255, 0.09879775838228247, -0.04387648148694949, -1.5089165575710002, -0.6053575105493691, 41132000000, 
-0.05453373568609454, 0.008302446863389292, -0.051221588025880664, -0.003961859735895443, 0.09833851060522297, -0.040287977838104665, -1.5001695703054456, -0.6091087308643032, 41233000000, 
-0.01581257566148951, -0.03954081446305787, -0.02443696285189465, -0.004111529516404469, 0.09965406991587593, -0.04125801906410106, -1.4910502561733254, -0.6130640784204241, 41329000000, 
-0.06773439852903029, 0.004865640147958551, -0.05712856711821441, -0.0034362031557027815, 0.09889720282693606, -0.03474520064754433, -1.4818142977230062, -0.6171135550371544, 41389000000, 
-0.04793068991990712, 0.010131588991412864, -0.05015053721313141, -0.00294720591356898, 0.09808604936498645, -0.030047146690577564, -1.4726612508991193, -0.621169801139311, 41489000000, 
-0.0649194257367384, -0.006257683879207105, -0.061271912399018164, -0.002858197900412803, 0.09835543184303826, -0.029059888679804628, -1.4635452182760211, -0.6252462132590216, 41595000000, 
-0.04333722161962532, -0.03444540649709359, -0.04768315608103977, -0.0030074050825121363, 0.09891444391221894, -0.030404104431715158, -1.454353615209352, -0.6293895233746024, 41695000000, 
-0.05744097145832315, -0.0192842512264566, -0.055022892311583124, -0.00279526710577235, 0.09894502990356391, -0.028250707574667848, -1.4452239611198516, -0.6335371197347944, 41796000000, 
-0.05103772950041214, -0.018312928759256247, -0.051978953713920625, -0.002732304691053301, 0.09878804422283194, -0.027658252702018868, -1.436067373600758, -0.6377299095357919, 41896000000, 
-0.03436949132234793, 0.015878005647789396, -0.03864952894132394, -0.002493898067262746, 0.0981764108020445, -0.025402212679084935, -1.4269790245313103, -0.641922219230749, 42002000000, 
-0.10312200178005212, 0.0044073441164947744, -0.08732054690905634, -0.0024460616866964495, 0.09820671407525071, -0.02490727553334245, -1.417910662870536, -0.6461350648024283, 42102000000, 
